Check ID,Status,Severity,Weight,Details,Remediation,Timestamp
5.2.1,FAIL,HIGH,2,Namespace 'api-gateway-prod' does not have Pod Security Standards enforcement configured. Pods can be created without security restrictions. Remediation: Add pod-security.kubernetes.io/enforce label to namespace 'api-gateway-prod'. Example: kubectl label namespace api-gateway-prod pod-security.kubernetes.io/enforce=restricted --overwrite. Use 'restricted' for maximum security or 'baseline' for compatibility.; Namespace 'api-gateway-prod' missing Pod Security Standards audit mode. Consider adding for better visibility. Remediation: kubectl label namespace api-gateway-prod pod-security.kubernetes.io/audit=restricted; Namespace 'api-gateway-staging' does not have Pod Security Standards enforcement configured. Pods can be created without security restrictions. Remediation: Add pod-security.kubernetes.io/enforce label to namespace 'api-gateway-staging'. Example: kubectl label namespace api-gateway-staging pod-security.kubernetes.io/enforce=restricted --overwrite. Use 'restricted' for maximum security or 'baseline' for compatibility.; Namespace 'api-gateway-staging' missing Pod Security Standards audit mode. Consider adding for better visibility. Remediation: kubectl label namespace api-gateway-staging pod-security.kubernetes.io/audit=restricted; Namespace 'default' does not have Pod Security Standards enforcement configured. Pods can be created without security restrictions. Remediation: Add pod-security.kubernetes.io/enforce label to namespace 'default'. Example: kubectl label namespace default pod-security.kubernetes.io/enforce=restricted --overwrite. Use 'restricted' for maximum security or 'baseline' for compatibility.; Namespace 'default' missing Pod Security Standards audit mode. Consider adding for better visibility. Remediation: kubectl label namespace default pod-security.kubernetes.io/audit=restricted; Namespace 'local-path-storage' does not have Pod Security Standards enforcement configured. Pods can be created without security restrictions. Remediation: Add pod-security.kubernetes.io/enforce label to namespace 'local-path-storage'. Example: kubectl label namespace local-path-storage pod-security.kubernetes.io/enforce=restricted --overwrite. Use 'restricted' for maximum security or 'baseline' for compatibility.; Namespace 'local-path-storage' missing Pod Security Standards audit mode. Consider adding for better visibility. Remediation: kubectl label namespace local-path-storage pod-security.kubernetes.io/audit=restricted; Namespace 'minio' does not have Pod Security Standards enforcement configured. Pods can be created without security restrictions. Remediation: Add pod-security.kubernetes.io/enforce label to namespace 'minio'. Example: kubectl label namespace minio pod-security.kubernetes.io/enforce=restricted --overwrite. Use 'restricted' for maximum security or 'baseline' for compatibility.; Namespace 'minio' missing Pod Security Standards audit mode. Consider adding for better visibility. Remediation: kubectl label namespace minio pod-security.kubernetes.io/audit=restricted; Namespace 'monitoring' does not have Pod Security Standards enforcement configured. Pods can be created without security restrictions. Remediation: Add pod-security.kubernetes.io/enforce label to namespace 'monitoring'. Example: kubectl label namespace monitoring pod-security.kubernetes.io/enforce=restricted --overwrite. Use 'restricted' for maximum security or 'baseline' for compatibility.; Namespace 'monitoring' missing Pod Security Standards audit mode. Consider adding for better visibility. Remediation: kubectl label namespace monitoring pod-security.kubernetes.io/audit=restricted; Namespace 'project-c13' does not have Pod Security Standards enforcement configured. Pods can be created without security restrictions. Remediation: Add pod-security.kubernetes.io/enforce label to namespace 'project-c13'. Example: kubectl label namespace project-c13 pod-security.kubernetes.io/enforce=restricted --overwrite. Use 'restricted' for maximum security or 'baseline' for compatibility.; Namespace 'project-c13' missing Pod Security Standards audit mode. Consider adding for better visibility. Remediation: kubectl label namespace project-c13 pod-security.kubernetes.io/audit=restricted; Namespace 'project-h800' does not have Pod Security Standards enforcement configured. Pods can be created without security restrictions. Remediation: Add pod-security.kubernetes.io/enforce label to namespace 'project-h800'. Example: kubectl label namespace project-h800 pod-security.kubernetes.io/enforce=restricted --overwrite. Use 'restricted' for maximum security or 'baseline' for compatibility.; Namespace 'project-h800' missing Pod Security Standards audit mode. Consider adding for better visibility. Remediation: kubectl label namespace project-h800 pod-security.kubernetes.io/audit=restricted; Namespace 'project-r500' does not have Pod Security Standards enforcement configured. Pods can be created without security restrictions. Remediation: Add pod-security.kubernetes.io/enforce label to namespace 'project-r500'. Example: kubectl label namespace project-r500 pod-security.kubernetes.io/enforce=restricted --overwrite. Use 'restricted' for maximum security or 'baseline' for compatibility.; Namespace 'project-r500' missing Pod Security Standards audit mode. Consider adding for better visibility. Remediation: kubectl label namespace project-r500 pod-security.kubernetes.io/audit=restricted; Namespace 'project-swan' does not have Pod Security Standards enforcement configured. Pods can be created without security restrictions. Remediation: Add pod-security.kubernetes.io/enforce label to namespace 'project-swan'. Example: kubectl label namespace project-swan pod-security.kubernetes.io/enforce=restricted --overwrite. Use 'restricted' for maximum security or 'baseline' for compatibility.; Namespace 'project-swan' missing Pod Security Standards audit mode. Consider adding for better visibility. Remediation: kubectl label namespace project-swan pod-security.kubernetes.io/audit=restricted,Add pod-security.kubernetes.io/enforce label to namespaces with value 'restricted' or 'baseline'. Example: kubectl label namespace <namespace> pod-security.kubernetes.io/enforce=restricted,2026-01-19T15:54:00+05:00
1.2.7,FAIL,HIGH,2,kube-system/kube-apiserver-kind-control-plane: Missing required flag '--anonymous-auth'. Remediation: Add '--anonymous-auth=false' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--audit-log-maxage'. Remediation: Add '--audit-log-maxage=30' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--audit-log-maxbackup'. Remediation: Add '--audit-log-maxbackup=10' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--audit-log-maxsize'. Remediation: Add '--audit-log-maxsize=100' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--request-timeout'. Remediation: Add '--request-timeout=300s' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--service-account-lookup'. Remediation: Add '--service-account-lookup=true' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Flag '--enable-bootstrap-token-auth' has invalid value 'true'. Expected 'false'. Remediation: Set '--enable-bootstrap-token-auth=false' in API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--tls-min-version'. Remediation: Add '--tls-min-version=VersionTLS12' to API server configuration,Edit the API server pod specification file and set --audit-log-maxsize=100,2026-01-19T15:54:00+05:00
5.2.2,FAIL,HIGH,2,Container 'operator' in pod 'minio/minio-operator-5d8f5d6646-9pxfr' has writable root filesystem. Remediation: Set securityContext.readOnlyRootFilesystem=true in container specification. Ensure required volumes are mounted as tmpfs or emptyDir if write access is needed.; Container 'operator' in pod 'minio/minio-operator-5d8f5d6646-9vcdc' has writable root filesystem. Remediation: Set securityContext.readOnlyRootFilesystem=true in container specification. Ensure required volumes are mounted as tmpfs or emptyDir if write access is needed.; Container 'grafana-sc-dashboard' in pod 'monitoring/kube-prometheus-stack-grafana-649b77f6f9-57smr' has writable root filesystem. Remediation: Set securityContext.readOnlyRootFilesystem=true in container specification. Ensure required volumes are mounted as tmpfs or emptyDir if write access is needed.; Container 'grafana-sc-datasources' in pod 'monitoring/kube-prometheus-stack-grafana-649b77f6f9-57smr' has writable root filesystem. Remediation: Set securityContext.readOnlyRootFilesystem=true in container specification. Ensure required volumes are mounted as tmpfs or emptyDir if write access is needed.; Container 'grafana' in pod 'monitoring/kube-prometheus-stack-grafana-649b77f6f9-57smr' has writable root filesystem. Remediation: Set securityContext.readOnlyRootFilesystem=true in container specification. Ensure required volumes are mounted as tmpfs or emptyDir if write access is needed.; Container 'kube-state-metrics' in pod 'monitoring/kube-prometheus-stack-kube-state-metrics-5f454f8889-x989q' has writable root filesystem. Remediation: Set securityContext.readOnlyRootFilesystem=true in container specification. Ensure required volumes are mounted as tmpfs or emptyDir if write access is needed.,"Ensure Pod Security Standards are properly configured and enforced. Pods should not run as root, use privileged mode, or allow privilege escalation.",2026-01-19T15:54:00+05:00
1.2.8,FAIL,MEDIUM,1,kube-system/kube-apiserver-kind-control-plane: Missing required flag '--audit-log-maxbackup'. Remediation: Add '--audit-log-maxbackup=10' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--request-timeout'. Remediation: Add '--request-timeout=300s' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Flag '--enable-bootstrap-token-auth' has invalid value 'true'. Expected 'false'. Remediation: Set '--enable-bootstrap-token-auth=false' in API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--anonymous-auth'. Remediation: Add '--anonymous-auth=false' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--audit-log-maxage'. Remediation: Add '--audit-log-maxage=30' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--audit-log-maxsize'. Remediation: Add '--audit-log-maxsize=100' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--service-account-lookup'. Remediation: Add '--service-account-lookup=true' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--tls-min-version'. Remediation: Add '--tls-min-version=VersionTLS12' to API server configuration,Edit the API server pod specification file and set --request-timeout=300s,2026-01-19T15:54:00+05:00
1.2.9,FAIL,HIGH,2,kube-system/kube-apiserver-kind-control-plane: Missing required flag '--audit-log-maxbackup'. Remediation: Add '--audit-log-maxbackup=10' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--request-timeout'. Remediation: Add '--request-timeout=300s' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--service-account-lookup'. Remediation: Add '--service-account-lookup=true' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--anonymous-auth'. Remediation: Add '--anonymous-auth=false' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--audit-log-maxsize'. Remediation: Add '--audit-log-maxsize=100' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Flag '--enable-bootstrap-token-auth' has invalid value 'true'. Expected 'false'. Remediation: Set '--enable-bootstrap-token-auth=false' in API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--tls-min-version'. Remediation: Add '--tls-min-version=VersionTLS12' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--audit-log-maxage'. Remediation: Add '--audit-log-maxage=30' to API server configuration,Edit the API server pod specification file and set --service-account-lookup=true,2026-01-19T15:54:00+05:00
1.2.10,FAIL,HIGH,2,kube-system/kube-apiserver-kind-control-plane: Missing required flag '--audit-log-maxsize'. Remediation: Add '--audit-log-maxsize=100' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Flag '--enable-bootstrap-token-auth' has invalid value 'true'. Expected 'false'. Remediation: Set '--enable-bootstrap-token-auth=false' in API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--request-timeout'. Remediation: Add '--request-timeout=300s' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--service-account-lookup'. Remediation: Add '--service-account-lookup=true' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--tls-min-version'. Remediation: Add '--tls-min-version=VersionTLS12' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--anonymous-auth'. Remediation: Add '--anonymous-auth=false' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--audit-log-maxage'. Remediation: Add '--audit-log-maxage=30' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--audit-log-maxbackup'. Remediation: Add '--audit-log-maxbackup=10' to API server configuration,Edit the API server pod specification file and set --enable-bootstrap-token-auth=false,2026-01-19T15:54:01+05:00
1.2.11,FAIL,HIGH,2,kube-system/kube-apiserver-kind-control-plane: Missing required flag '--anonymous-auth'. Remediation: Add '--anonymous-auth=false' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--audit-log-maxage'. Remediation: Add '--audit-log-maxage=30' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--audit-log-maxsize'. Remediation: Add '--audit-log-maxsize=100' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--audit-log-maxbackup'. Remediation: Add '--audit-log-maxbackup=10' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--request-timeout'. Remediation: Add '--request-timeout=300s' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--service-account-lookup'. Remediation: Add '--service-account-lookup=true' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Flag '--enable-bootstrap-token-auth' has invalid value 'true'. Expected 'false'. Remediation: Set '--enable-bootstrap-token-auth=false' in API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--tls-min-version'. Remediation: Add '--tls-min-version=VersionTLS12' to API server configuration,Edit the API server pod specification file and set --tls-cipher-suites to strong cipher suites,2026-01-19T15:54:01+05:00
1.2.12,FAIL,HIGH,2,kube-system/kube-apiserver-kind-control-plane: Flag '--enable-bootstrap-token-auth' has invalid value 'true'. Expected 'false'. Remediation: Set '--enable-bootstrap-token-auth=false' in API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--audit-log-maxage'. Remediation: Add '--audit-log-maxage=30' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--audit-log-maxbackup'. Remediation: Add '--audit-log-maxbackup=10' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--service-account-lookup'. Remediation: Add '--service-account-lookup=true' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--tls-min-version'. Remediation: Add '--tls-min-version=VersionTLS12' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--anonymous-auth'. Remediation: Add '--anonymous-auth=false' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--audit-log-maxsize'. Remediation: Add '--audit-log-maxsize=100' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--request-timeout'. Remediation: Add '--request-timeout=300s' to API server configuration,Edit the API server pod specification file and set --tls-min-version=VersionTLS12,2026-01-19T15:54:01+05:00
1.2.3,FAIL,CRITICAL,3,kube-system/kube-apiserver-kind-control-plane: Missing required flag '--anonymous-auth'. Remediation: Add '--anonymous-auth=false' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--audit-log-maxage'. Remediation: Add '--audit-log-maxage=30' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--audit-log-maxbackup'. Remediation: Add '--audit-log-maxbackup=10' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--audit-log-maxsize'. Remediation: Add '--audit-log-maxsize=100' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--request-timeout'. Remediation: Add '--request-timeout=300s' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--service-account-lookup'. Remediation: Add '--service-account-lookup=true' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--tls-min-version'. Remediation: Add '--tls-min-version=VersionTLS12' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Flag '--enable-bootstrap-token-auth' has invalid value 'true'. Expected 'false'. Remediation: Set '--enable-bootstrap-token-auth=false' in API server configuration,Edit the API server pod specification file and ensure --authorization-mode includes Node,2026-01-19T15:54:01+05:00
1.2.1,FAIL,CRITICAL,3,kube-system/kube-apiserver-kind-control-plane: Missing required flag '--service-account-lookup'. Remediation: Add '--service-account-lookup=true' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Flag '--enable-bootstrap-token-auth' has invalid value 'true'. Expected 'false'. Remediation: Set '--enable-bootstrap-token-auth=false' in API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--anonymous-auth'. Remediation: Add '--anonymous-auth=false' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--audit-log-maxage'. Remediation: Add '--audit-log-maxage=30' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--request-timeout'. Remediation: Add '--request-timeout=300s' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--tls-min-version'. Remediation: Add '--tls-min-version=VersionTLS12' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--audit-log-maxbackup'. Remediation: Add '--audit-log-maxbackup=10' to API server configuration; kube-system/kube-apiserver-kind-control-plane: Missing required flag '--audit-log-maxsize'. Remediation: Add '--audit-log-maxsize=100' to API server configuration,Edit the API server pod specification file and set --anonymous-auth=false,2026-01-19T15:54:01+05:00
